IndID;Ind;Ploidy;Pop;Rep;Day;Diameter
UZ_9.23(4)-R1D0;94;4x;mon;R1;D0;1,5
UZ_9.23(4)-R2D0;94;4x;mon;R2;D0;1,5
UZ_9.23(4)-R3D0;94;4x;mon;R3;D0;1,5
UZ_10.23(3)-R1D0;103;4x;mon;R1;D0;1,5
UZ_10.23(3)-R2D0;103;4x;mon;R2;D0;1,5
UZ_10.23(3)-R3D0;103;4x;mon;R3;D0;1,5
UZ_10.23(4)-R1D0;104;4x;mon;R1;D0;1,5
UZ_10.23(4)-R2D0;104;4x;mon;R2;D0;1,5
UZ_10.23(4)-R3D0;104;4x;mon;R3;D0;1,5
UZ_12.23(5)-R1D0;125;4x;mon;R1;D0;1,5
UZ_12.23(5)-R2D0;125;4x;mon;R2;D0;1,5
UZ_12.23(5)-R3D0;125;4x;mon;R3;D0;1,5
UZ_14.23(6)-R1D0;146;4x;can;R1;D0;1,5
UZ_14.23(6)-R2D0;146;4x;can;R2;D0;1,5
UZ_14.23(6)-R3D0;146;4x;can;R3;D0;1,5
UZ_14.23(8)-R1D0;148;4x;can;R1;D0;1,5
UZ_14.23(8)-R2D0;148;4x;can;R2;D0;1,5
UZ_14.23(8)-R3D0;148;4x;can;R3;D0;1,5
UZ_14.23(9)-R1D0;149;4x;can;R1;D0;1,5
UZ_14.23(9)-R2D0;149;4x;can;R2;D0;1,5
UZ_14.23(9)-R3D0;149;4x;can;R3;D0;1,5
UZ_14.23(12)-R1D0;1412;4x;can;R1;D0;1,5
UZ_14.23(12)-R2D0;1412;4x;can;R2;D0;1,5
UZ_14.23(12)-R3D0;1412;4x;can;R3;D0;1,5
UZ_15.23(2)-R1D0;152;8x;can;R1;D0;1,5
UZ_15.23(2)-R2D0;152;8x;can;R2;D0;1,5
UZ_15.23(2)-R3D0;152;8x;can;R3;D0;1,5
UZ_15.23(5)-R1D0;155;8x;can;R1;D0;1,5
UZ_15.23(5)-R2D0;155;8x;can;R2;D0;1,5
UZ_15.23(5)-R3D0;155;8x;can;R3;D0;1,5
UZ_15.23(10)-R1D0;1510;8x;can;R1;D0;1,5
UZ_15.23(10)-R2D0;1510;8x;can;R2;D0;1,5
UZ_15.23(10)-R3D0;1510;8x;can;R3;D0;1,5
UZ_15.23(11)-R1D0;1511;8x;can;R1;D0;1,5
UZ_15.23(11)-R2D0;1511;8x;can;R2;D0;1,5
UZ_15.23(11)-R3D0;1511;8x;can;R3;D0;1,5
UZ_16.23(1)-R1D0;161;6x;cab;R1;D0;1,5
UZ_16.23(1)-R2D0;161;6x;cab;R2;D0;1,5
UZ_16.23(1)-R3D0;161;6x;cab;R3;D0;1,5
UZ_16.23(5)-R1D0;165;6x;cab;R1;D0;1,5
UZ_16.23(5)-R2D0;165;6x;cab;R2;D0;1,5
UZ_16.23(5)-R3D0;165;6x;cab;R3;D0;1,5
UZ_16.23(8)-R1D0;168;6x;cab;R1;D0;1,5
UZ_16.23(8)-R2D0;168;6x;cab;R2;D0;1,5
UZ_16.23(8)-R3D0;168;6x;cab;R3;D0;1,5
UZ_25.22(4)-R1D0;254;6x;cab;R1;D0;1,5
UZ_25.22(4)-R2D0;254;6x;cab;R2;D0;1,5
UZ_25.22(4)-R3D0;254;6x;cab;R3;D0;1,5
UZ_9.23(4)-R1D8;94;4x;mon;R1;D8;12,61
UZ_9.23(4)-R2D8;94;4x;mon;R2;D8;12,97
UZ_9.23(4)-R3D8;94;4x;mon;R3;D8;13,83
UZ_10.23(3)-R1D8;103;4x;mon;R1;D8;8,36
UZ_10.23(3)-R2D8;103;4x;mon;R2;D8;8,48
UZ_10.23(3)-R3D8;103;4x;mon;R3;D8;8,09
UZ_10.23(4)-R1D8;104;4x;mon;R1;D8;12,15
UZ_10.23(4)-R2D8;104;4x;mon;R2;D8;11,02
UZ_10.23(4)-R3D8;104;4x;mon;R3;D8;11,96
UZ_12.23(5)-R1D8;125;4x;mon;R1;D8;12,79
UZ_12.23(5)-R2D8;125;4x;mon;R2;D8;12,18
UZ_12.23(5)-R3D8;125;4x;mon;R3;D8;12,44
UZ_14.23(6)-R1D8;146;4x;can;R1;D8;12,37
UZ_14.23(6)-R2D8;146;4x;can;R2;D8;12,82
UZ_14.23(6)-R3D8;146;4x;can;R3;D8;13,59
UZ_14.23(8)-R1D8;148;4x;can;R1;D8;12,32
UZ_14.23(8)-R2D8;148;4x;can;R2;D8;13,11
UZ_14.23(8)-R3D8;148;4x;can;R3;D8;14,09
UZ_14.23(9)-R1D8;149;4x;can;R1;D8;12,61
UZ_14.23(9)-R2D8;149;4x;can;R2;D8;13,01
UZ_14.23(9)-R3D8;149;4x;can;R3;D8;12,75
UZ_14.23(12)-R1D8;1412;4x;can;R1;D8;10,79
UZ_14.23(12)-R2D8;1412;4x;can;R2;D8;10,12
UZ_14.23(12)-R3D8;1412;4x;can;R3;D8;10,99
UZ_15.23(2)-R1D8;152;8x;can;R1;D8;10,1
UZ_15.23(2)-R2D8;152;8x;can;R2;D8;10,15
UZ_15.23(2)-R3D8;152;8x;can;R3;D8;10,49
UZ_15.23(5)-R1D8;155;8x;can;R1;D8;11,49
UZ_15.23(5)-R2D8;155;8x;can;R2;D8;11,72
UZ_15.23(5)-R3D8;155;8x;can;R3;D8;11,27
UZ_15.23(10)-R1D8;1510;8x;can;R1;D8;10,32
UZ_15.23(10)-R2D8;1510;8x;can;R2;D8;9,79
UZ_15.23(10)-R3D8;1510;8x;can;R3;D8;9,65
UZ_15.23(11)-R1D8;1511;8x;can;R1;D8;11,93
UZ_15.23(11)-R2D8;1511;8x;can;R2;D8;12,2
UZ_15.23(11)-R3D8;1511;8x;can;R3;D8;13,61
UZ_16.23(1)-R1D8;161;6x;cab;R1;D8;7,79
UZ_16.23(1)-R2D8;161;6x;cab;R2;D8;7,22
UZ_16.23(1)-R3D8;161;6x;cab;R3;D8;9,28
UZ_16.23(5)-R1D8;165;6x;cab;R1;D8;10,38
UZ_16.23(5)-R2D8;165;6x;cab;R2;D8;12,47
UZ_16.23(5)-R3D8;165;6x;cab;R3;D8;12,98
UZ_16.23(8)-R1D8;168;6x;cab;R1;D8;10,38
UZ_16.23(8)-R2D8;168;6x;cab;R2;D8;10,07
UZ_16.23(8)-R3D8;168;6x;cab;R3;D8;11,08
UZ_25.22(4)-R1D8;254;6x;cab;R1;D8;9,65
UZ_25.22(4)-R2D8;254;6x;cab;R2;D8;8,11
UZ_25.22(4)-R3D8;254;6x;cab;R3;D8;9,87
UZ_9.23(4)-R1D16;94;4x;mon;R1;D16;30,62
UZ_9.23(4)-R2D16;94;4x;mon;R2;D16;32,62
UZ_9.23(4)-R3D16;94;4x;mon;R3;D16;33,04
UZ_10.23(3)-R1D16;103;4x;mon;R1;D16;19,21
UZ_10.23(3)-R2D16;103;4x;mon;R2;D16;18,59
UZ_10.23(3)-R3D16;103;4x;mon;R3;D16;19,28
UZ_10.23(4)-R1D16;104;4x;mon;R1;D16;24,53
UZ_10.23(4)-R2D16;104;4x;mon;R2;D16;22,14
UZ_10.23(4)-R3D16;104;4x;mon;R3;D16;24,35
UZ_12.23(5)-R1D16;125;4x;mon;R1;D16;29,3
UZ_12.23(5)-R2D16;125;4x;mon;R2;D16;30,05
UZ_12.23(5)-R3D16;125;4x;mon;R3;D16;29,12
UZ_14.23(6)-R1D16;146;4x;can;R1;D16;27,81
UZ_14.23(6)-R2D16;146;4x;can;R2;D16;28,89
UZ_14.23(6)-R3D16;146;4x;can;R3;D16;29,4
UZ_14.23(8)-R1D16;148;4x;can;R1;D16;31,21
UZ_14.23(8)-R2D16;148;4x;can;R2;D16;31,33
UZ_14.23(8)-R3D16;148;4x;can;R3;D16;31,98
UZ_14.23(9)-R1D16;149;4x;can;R1;D16;29,71
UZ_14.23(9)-R2D16;149;4x;can;R2;D16;30,56
UZ_14.23(9)-R3D16;149;4x;can;R3;D16;29,73
UZ_14.23(12)-R1D16;1412;4x;can;R1;D16;25,05
UZ_14.23(12)-R2D16;1412;4x;can;R2;D16;24,63
UZ_14.23(12)-R3D16;1412;4x;can;R3;D16;24,18
UZ_15.23(2)-R1D16;152;8x;can;R1;D16;24,36
UZ_15.23(2)-R2D16;152;8x;can;R2;D16;25,4
UZ_15.23(2)-R3D16;152;8x;can;R3;D16;25,42
UZ_15.23(5)-R1D16;155;8x;can;R1;D16;25,92
UZ_15.23(5)-R2D16;155;8x;can;R2;D16;27,92
UZ_15.23(5)-R3D16;155;8x;can;R3;D16;27,87
UZ_15.23(10)-R1D16;1510;8x;can;R1;D16;24,7
UZ_15.23(10)-R2D16;1510;8x;can;R2;D16;23,98
UZ_15.23(10)-R3D16;1510;8x;can;R3;D16;24,96
UZ_15.23(11)-R1D16;1511;8x;can;R1;D16;29,66
UZ_15.23(11)-R2D16;1511;8x;can;R2;D16;29,93
UZ_15.23(11)-R3D16;1511;8x;can;R3;D16;31,07
UZ_16.23(1)-R1D16;161;6x;cab;R1;D16;21,74
UZ_16.23(1)-R2D16;161;6x;cab;R2;D16;22,38
UZ_16.23(1)-R3D16;161;6x;cab;R3;D16;22,95
UZ_16.23(5)-R1D16;165;6x;cab;R1;D16;26,73
UZ_16.23(5)-R2D16;165;6x;cab;R2;D16;28,29
UZ_16.23(5)-R3D16;165;6x;cab;R3;D16;28,29
UZ_16.23(8)-R1D16;168;6x;cab;R1;D16;26,8
UZ_16.23(8)-R2D16;168;6x;cab;R2;D16;25,67
UZ_16.23(8)-R3D16;168;6x;cab;R3;D16;25,18
UZ_25.22(4)-R1D16;254;6x;cab;R1;D16;24,46
UZ_25.22(4)-R2D16;254;6x;cab;R2;D16;21,67
UZ_25.22(4)-R3D16;254;6x;cab;R3;D16;23,5
UZ_9.23(4)-R1D24;94;4x;mon;R1;D24;46,43
UZ_9.23(4)-R2D24;94;4x;mon;R2;D24;50,26
UZ_9.23(4)-R3D24;94;4x;mon;R3;D24;52,08
UZ_10.23(3)-R1D24;103;4x;mon;R1;D24;30,27
UZ_10.23(3)-R2D24;103;4x;mon;R2;D24;30,49
UZ_10.23(3)-R3D24;103;4x;mon;R3;D24;29,12
UZ_10.23(4)-R1D24;104;4x;mon;R1;D24;37,75
UZ_10.23(4)-R2D24;104;4x;mon;R2;D24;39,33
UZ_10.23(4)-R3D24;104;4x;mon;R3;D24;38,75
UZ_12.23(5)-R1D24;125;4x;mon;R1;D24;45,3
UZ_12.23(5)-R2D24;125;4x;mon;R2;D24;46,79
UZ_12.23(5)-R3D24;125;4x;mon;R3;D24;45,99
UZ_14.23(6)-R1D24;146;4x;can;R1;D24;44,82
UZ_14.23(6)-R2D24;146;4x;can;R2;D24;44,03
UZ_14.23(6)-R3D24;146;4x;can;R3;D24;43,44
UZ_14.23(8)-R1D24;148;4x;can;R1;D24;49,75
UZ_14.23(8)-R2D24;148;4x;can;R2;D24;47,73
UZ_14.23(8)-R3D24;148;4x;can;R3;D24;47,28
UZ_14.23(9)-R1D24;149;4x;can;R1;D24;46,6
UZ_14.23(9)-R2D24;149;4x;can;R2;D24;45,96
UZ_14.23(9)-R3D24;149;4x;can;R3;D24;47,7
UZ_14.23(12)-R1D24;1412;4x;can;R1;D24;36,1
UZ_14.23(12)-R2D24;1412;4x;can;R2;D24;37,73
UZ_14.23(12)-R3D24;1412;4x;can;R3;D24;37,08
UZ_15.23(2)-R1D24;152;8x;can;R1;D24;41,94
UZ_15.23(2)-R2D24;152;8x;can;R2;D24;38,24
UZ_15.23(2)-R3D24;152;8x;can;R3;D24;37,38
UZ_15.23(5)-R1D24;155;8x;can;R1;D24;40,34
UZ_15.23(5)-R2D24;155;8x;can;R2;D24;43,47
UZ_15.23(5)-R3D24;155;8x;can;R3;D24;42,07
UZ_15.23(10)-R1D24;1510;8x;can;R1;D24;40,56
UZ_15.23(10)-R2D24;1510;8x;can;R2;D24;40,28
UZ_15.23(10)-R3D24;1510;8x;can;R3;D24;39,37
UZ_15.23(11)-R1D24;1511;8x;can;R1;D24;47,46
UZ_15.23(11)-R2D24;1511;8x;can;R2;D24;44,09
UZ_15.23(11)-R3D24;1511;8x;can;R3;D24;47,53
UZ_16.23(1)-R1D24;161;6x;cab;R1;D24;40,37
UZ_16.23(1)-R2D24;161;6x;cab;R2;D24;39,72
UZ_16.23(1)-R3D24;161;6x;cab;R3;D24;40,17
UZ_16.23(5)-R1D24;165;6x;cab;R1;D24;42,26
UZ_16.23(5)-R2D24;165;6x;cab;R2;D24;39,72
UZ_16.23(5)-R3D24;165;6x;cab;R3;D24;37,48
UZ_16.23(8)-R1D24;168;6x;cab;R1;D24;43,64
UZ_16.23(8)-R2D24;168;6x;cab;R2;D24;42,49
UZ_16.23(8)-R3D24;168;6x;cab;R3;D24;44,27
UZ_25.22(4)-R1D24;254;6x;cab;R1;D24;41,94
UZ_25.22(4)-R2D24;254;6x;cab;R2;D24;39,03
UZ_25.22(4)-R3D24;254;6x;cab;R3;D24;41,78
