SampleID;Ind;Rep;conidW;conidL;conidiophL;conidiophW;conidA;Pop;Ploidy
UZ_9.23(4)_R101;94;R1;1,596;4,371;13,583;1,443;5,233;mon;4x
UZ_9.23(4)_R102;94;R1;1,773;3,761;15,575;1,703;6,213;mon;4x
UZ_9.23(4)_R103;94;R1;1,898;4,449;14,493;1,601;5,981;mon;4x
UZ_9.23(4)_R104;94;R1;2,077;4,601;18,716;1,47;7,201;mon;4x
UZ_9.23(4)_R105;94;R1;1,753;4,285;11,584;1,496;6,793;mon;4x
UZ_9.23(4)_R106;94;R1;1,839;4,131;15,836;1,481;5,845;mon;4x
UZ_9.23(4)_R107;94;R1;1,928;4,154;14,736;1,4;7,193;mon;4x
UZ_9.23(4)_R108;94;R1;1,746;4,166;15,784;1,334;5,557;mon;4x
UZ_9.23(4)_R109;94;R1;2,017;4,302;20,221;1,389;5,809;mon;4x
UZ_9.23(4)_R110;94;R1;1,822;4,424;14,461;1,768;6,053;mon;4x
UZ_9.23(4)_R201;94;R2;1,993;4,571;11,664;1,582;6,509;mon;4x
UZ_9.23(4)_R202;94;R2;2,167;4,238;17,194;1,949;5,937;mon;4x
UZ_9.23(4)_R203;94;R2;2,079;4,044;12,205;1,866;6,945;mon;4x
UZ_9.23(4)_R204;94;R2;2,218;4,298;17,401;2,063;8,297;mon;4x
UZ_9.23(4)_R205;94;R2;1,75;3,817;13,632;1,582;5,293;mon;4x
UZ_9.23(4)_R206;94;R2;1,828;4,19;15,819;1,656;6,373;mon;4x
UZ_9.23(4)_R207;94;R2;1,995;4,568;11,954;1,772;6,789;mon;4x
UZ_9.23(4)_R208;94;R2;2,115;4,46;15,394;1,389;7,689;mon;4x
UZ_9.23(4)_R209;94;R2;2,111;4,837;17,449;1,95;7,645;mon;4x
UZ_9.23(4)_R210;94;R2;2,25;4,394;13,001;1,837;7,641;mon;4x
UZ_9.23(4)_R301;94;R3;2,122;4,035;9,568;1,03;6,761;mon;4x
UZ_9.23(4)_R302;94;R3;1,986;4,441;12,95;1,444;6,725;mon;4x
UZ_9.23(4)_R303;94;R3;2,151;4,175;18,083;1,363;5,465;mon;4x
UZ_9.23(4)_R304;94;R3;1,881;3,823;11,396;1,455;7,021;mon;4x
UZ_9.23(4)_R305;94;R3;1,754;3,287;19,721;1,288;8,173;mon;4x
UZ_9.23(4)_R306;94;R3;2,096;3,963;12,918;1,318;7,041;mon;4x
UZ_9.23(4)_R307;94;R3;1,993;4,637;14,801;1,27;7,557;mon;4x
UZ_9.23(4)_R308;94;R3;1,981;5,033;10,616;1,266;7,697;mon;4x
UZ_9.23(4)_R309;94;R3;1,801;3,423;11,566;1,429;8,153;mon;4x
UZ_9.23(4)_R310;94;R3;2,285;4,602;13,126;1,43;7,841;mon;4x
UZ_10.23(3)_R101;103;R1;2,251;4,161;11,238;1,631;6,685;mon;4x
UZ_10.23(3)_R102;103;R1;2,081;3,802;12,552;1,74;5,897;mon;4x
UZ_10.23(3)_R103;103;R1;1,952;3,601;15,171;1,962;5,665;mon;4x
UZ_10.23(3)_R104;103;R1;2,072;3,941;14,274;1,75;5,601;mon;4x
UZ_10.23(3)_R105;103;R1;2,126;3,881;14,311;1,586;5,529;mon;4x
UZ_10.23(3)_R106;103;R1;2,059;3,757;12,567;1,649;5,637;mon;4x
UZ_10.23(3)_R107;103;R1;2,062;4,501;12,407;1,445;7,121;mon;4x
UZ_10.23(3)_R108;103;R1;2,141;4,044;12,153;1,231;6,497;mon;4x
UZ_10.23(3)_R109;103;R1;2,188;4,639;15,897;1,798;8,065;mon;4x
UZ_10.23(3)_R110;103;R1;1,964;4,428;12,673;1,458;6,421;mon;4x
UZ_10.23(3)_R201;103;R2;2,283;4,703;14,24;1,86;8,325;mon;4x
UZ_10.23(3)_R202;103;R2;2,001;3,879;11,301;1,415;6,453;mon;4x
UZ_10.23(3)_R203;103;R2;1,818;3,912;10,439;1,217;6,381;mon;4x
UZ_10.23(3)_R204;103;R2;2,04;4,595;21,157;1,757;7,257;mon;4x
UZ_10.23(3)_R205;103;R2;2,13;4,66;15,098;1,528;7,581;mon;4x
UZ_10.23(3)_R206;103;R2;2,148;3,956;13,279;1,392;5,953;mon;4x
UZ_10.23(3)_R207;103;R2;2,024;4,096;16,467;1,919;7,285;mon;4x
UZ_10.23(3)_R208;103;R2;1,958;4,289;14,973;1,789;6,281;mon;4x
UZ_10.23(3)_R209;103;R2;1,953;4,018;11,975;1,362;6,609;mon;4x
UZ_10.23(3)_R210;103;R2;2,162;4,352;16,37;2,181;7,141;mon;4x
UZ_10.23(3)_R301;103;R3;2,122;4,035;9,568;1,902;5,301;mon;4x
UZ_10.23(3)_R302;103;R3;1,986;4,441;12,95;2,236;7,469;mon;4x
UZ_10.23(3)_R303;103;R3;2,151;4,175;18,083;1,941;7,193;mon;4x
UZ_10.23(3)_R304;103;R3;1,881;3,823;11,396;2,032;6,565;mon;4x
UZ_10.23(3)_R305;103;R3;1,754;3,287;19,721;1,874;5,205;mon;4x
UZ_10.23(3)_R306;103;R3;2,096;3,963;12,918;1,891;6,493;mon;4x
UZ_10.23(3)_R307;103;R3;1,993;4,637;14,801;2,327;6,557;mon;4x
UZ_10.23(3)_R308;103;R3;1,981;5,033;10,616;2,541;8,401;mon;4x
UZ_10.23(3)_R309;103;R3;1,801;3,423;11,566;1,901;5,265;mon;4x
UZ_10.23(3)_R310;103;R3;2,001;3,923;13,126;1,961;6,717;mon;4x
UZ_10.23(4)_R101;104;R1;2,024;3,88;13,138;2,014;5,705;mon;4x
UZ_10.23(4)_R102;104;R1;2,232;4,003;12,592;2,167;6,045;mon;4x
UZ_10.23(4)_R103;104;R1;2,074;3,568;15,42;1,969;6,121;mon;4x
UZ_10.23(4)_R104;104;R1;2,244;3,887;12,997;1,924;5,785;mon;4x
UZ_10.23(4)_R105;104;R1;2,124;3,743;9,854;1,745;5,665;mon;4x
UZ_10.23(4)_R106;104;R1;2,286;4,135;11,64;1,735;5,613;mon;4x
UZ_10.23(4)_R107;104;R1;2,241;4,962;13,065;1,501;8,321;mon;4x
UZ_10.23(4)_R108;104;R1;2,322;4,3;11,781;2,152;6,969;mon;4x
UZ_10.23(4)_R109;104;R1;2,273;4,077;11,168;1,982;6,145;mon;4x
UZ_10.23(4)_R110;104;R1;1,895;3,818;16,172;1,41;5,409;mon;4x
UZ_10.23(4)_R201;104;R2;2,053;4,089;13,82;1,459;7,329;mon;4x
UZ_10.23(4)_R202;104;R2;1,97;4,126;13,116;1,569;6,645;mon;4x
UZ_10.23(4)_R203;104;R2;2,081;3,925;10,582;1,614;5,497;mon;4x
UZ_10.23(4)_R204;104;R2;2,179;4,593;8,998;1,595;6,537;mon;4x
UZ_10.23(4)_R205;104;R2;2,199;4,161;13,707;1,739;6,693;mon;4x
UZ_10.23(4)_R206;104;R2;2,162;4,271;12,689;1,883;6,585;mon;4x
UZ_10.23(4)_R207;104;R2;2,116;4;12,687;2,34;6,461;mon;4x
UZ_10.23(4)_R208;104;R2;2,232;4,207;12,021;1,371;7,389;mon;4x
UZ_10.23(4)_R209;104;R2;2,26;4,451;11,203;1,581;7,961;mon;4x
UZ_10.23(4)_R210;104;R2;2,119;4,27;11,725;1,498;6,733;mon;4x
UZ_10.23(4)_R301;104;R3;2,058;4,08;14,921;1,983;6,541;mon;4x
UZ_10.23(4)_R302;104;R3;1,977;4,082;12,639;2,065;6,645;mon;4x
UZ_10.23(4)_R303;104;R3;2,017;4,201;17,725;2,083;7,269;mon;4x
UZ_10.23(4)_R304;104;R3;1,763;3,797;14,901;2,154;6,001;mon;4x
UZ_10.23(4)_R305;104;R3;1,909;3,791;13,274;1,986;5,553;mon;4x
UZ_10.23(4)_R306;104;R3;1,968;4,013;14,333;2,039;6,429;mon;4x
UZ_10.23(4)_R307;104;R3;1,907;4,369;16,312;2,291;7,401;mon;4x
UZ_10.23(4)_R308;104;R3;1,844;4,047;14,523;2,195;6,709;mon;4x
UZ_10.23(4)_R309;104;R3;1,675;3,698;15,252;2,208;6,753;mon;4x
UZ_10.23(4)_R310;104;R3;1,899;4,187;16,74;2,205;5,909;mon;4x
UZ_12.23(5)_R101;125;R1;1,851;3,791;9,382;1,692;7,393;mon;4x
UZ_12.23(5)_R102;125;R1;2,15;4,501;12,371;1,62;7,221;mon;4x
UZ_12.23(5)_R103;125;R1;2,282;4,784;14,113;1,759;8,257;mon;4x
UZ_12.23(5)_R104;125;R1;2,333;5,174;15,122;1,879;9,398;mon;4x
UZ_12.23(5)_R105;125;R1;2,275;4,61;12,716;1,54;7,737;mon;4x
UZ_12.23(5)_R106;125;R1;1,928;5,432;15,676;1,495;8,293;mon;4x
UZ_12.23(5)_R107;125;R1;2,209;4,618;12,308;1,193;8,049;mon;4x
UZ_12.23(5)_R108;125;R1;1,896;4,277;12,708;1,412;6,917;mon;4x
UZ_12.23(5)_R109;125;R1;2,267;5,137;13,997;1,57;8,773;mon;4x
UZ_12.23(5)_R110;125;R1;1,877;4,298;13,095;2,182;6,845;mon;4x
UZ_12.23(5)_R201;125;R2;1,877;3,857;12,3;1,352;6,461;mon;4x
UZ_12.23(5)_R202;125;R2;2,221;4,871;10,752;1,118;8,725;mon;4x
UZ_12.23(5)_R203;125;R2;1,802;4,109;10;1,687;5,881;mon;4x
UZ_12.23(5)_R204;125;R2;2,074;4,522;11,809;1,436;7,577;mon;4x
UZ_12.23(5)_R205;125;R2;1,65;3,963;12,176;1,694;5,285;mon;4x
UZ_12.23(5)_R206;125;R2;1,815;4,35;11,95;1,631;6,321;mon;4x
UZ_12.23(5)_R207;125;R2;2,054;5,164;13,124;2,112;7,809;mon;4x
UZ_12.23(5)_R208;125;R2;1,831;4,287;9,381;1,555;6,293;mon;4x
UZ_12.23(5)_R209;125;R2;2,055;4,501;13,907;1,48;7,429;mon;4x
UZ_12.23(5)_R210;125;R2;2,025;4,9;11,909;1,362;7,529;mon;4x
UZ_12.23(5)_R301;125;R3;1,997;4,622;12,511;2,314;7,109;mon;4x
UZ_12.23(5)_R302;125;R3;2,033;4,628;9,666;2,276;7,569;mon;4x
UZ_12.23(5)_R303;125;R3;2,067;5,156;10,261;2,159;8,785;mon;4x
UZ_12.23(5)_R304;125;R3;2,201;4,465;9,713;2,553;7,481;mon;4x
UZ_12.23(5)_R305;125;R3;2,145;4,627;9,575;2,021;6,845;mon;4x
UZ_12.23(5)_R306;125;R3;1,679;4,533;10,326;2,044;6,893;mon;4x
UZ_12.23(5)_R307;125;R3;2,288;5,069;11,944;2,215;9,226;mon;4x
UZ_12.23(5)_R308;125;R3;1,928;4,652;13,455;2,413;6,877;mon;4x
UZ_12.23(5)_R309;125;R3;1,898;4,607;9,359;2,427;7,601;mon;4x
UZ_12.23(5)_R310;125;R3;2,371;4,348;11,827;2,522;7,809;mon;4x
UZ_14.23(6)_R101;146;R1;2,22;4,621;11,701;1,774;8,005;can;4x
UZ_14.23(6)_R102;146;R1;2,182;4,602;11,081;1,6;7,609;can;4x
UZ_14.23(6)_R103;146;R1;2,097;4,267;9,961;1,536;6,697;can;4x
UZ_14.23(6)_R104;146;R1;2,085;4,122;11,021;1,614;6,013;can;4x
UZ_14.23(6)_R105;146;R1;2,01;4,82;13,011;1,737;7,701;can;4x
UZ_14.23(6)_R106;146;R1;2,102;5,067;11,305;1,47;7,797;can;4x
UZ_14.23(6)_R107;146;R1;2,277;5;10,571;1,465;8,341;can;4x
UZ_14.23(6)_R108;146;R1;2,327;5,389;10,155;1,482;7,817;can;4x
UZ_14.23(6)_R109;146;R1;2,343;4,822;11,936;2,115;6,985;can;4x
UZ_14.23(6)_R110;146;R1;2,141;4,592;14,29;1,63;7,742;can;4x
UZ_14.23(6)_R201;146;R2;2,085;4,54;11,524;1,123;7,361;can;4x
UZ_14.23(6)_R202;146;R2;2,198;4,492;9,999;1,389;7,525;can;4x
UZ_14.23(6)_R203;146;R2;2,003;3,781;13,563;1,031;5,449;can;4x
UZ_14.23(6)_R204;146;R2;2,119;4,645;11,649;1,727;7,601;can;4x
UZ_14.23(6)_R205;146;R2;2,226;4,648;16,824;1,863;7,741;can;4x
UZ_14.23(6)_R206;146;R2;1,971;4,27;13,234;1,576;6,029;can;4x
UZ_14.23(6)_R207;146;R2;1,887;4,264;14,499;1,467;6,169;can;4x
UZ_14.23(6)_R208;146;R2;2,004;4,155;10,147;1,872;7,025;can;4x
UZ_14.23(6)_R209;146;R2;1,898;4,066;12,896;1,536;5,969;can;4x
UZ_14.23(6)_R210;146;R2;1,868;4,27;14,312;1,394;5,937;can;4x
UZ_14.23(6)_R301;146;R3;1,861;4,974;11,56;2,673;8,217;can;4x
UZ_14.23(6)_R302;146;R3;1,772;4,809;15,91;2,714;8,349;can;4x
UZ_14.23(6)_R303;146;R3;1,695;4,673;11,597;2,757;8,129;can;4x
UZ_14.23(6)_R304;146;R3;1,787;4,677;13,964;2,617;8,173;can;4x
UZ_14.23(6)_R305;146;R3;1,877;4,19;9,629;2,232;7,633;can;4x
UZ_14.23(6)_R306;146;R3;1,53;4,424;16,386;2,892;6,941;can;4x
UZ_14.23(6)_R307;146;R3;1,869;4,667;15,781;2,497;8,165;can;4x
UZ_14.23(6)_R308;146;R3;1,642;4,131;11,274;2,516;7,177;can;4x
UZ_14.23(6)_R309;146;R3;1,891;4,838;11,033;1,542;6,929;can;4x
UZ_14.23(6)_R310;146;R3;2,267;5,196;15,839;1,4;8,837;can;4x
UZ_14.23(8)_R101;148;R1;1,773;4,257;15,211;1,39;6,033;can;4x
UZ_14.23(8)_R102;148;R1;2,031;4,841;15,001;1,806;7,273;can;4x
UZ_14.23(8)_R103;148;R1;1,996;4,559;11,315;1,385;7,269;can;4x
UZ_14.23(8)_R104;148;R1;2,068;4,644;14,261;1,444;7,257;can;4x
UZ_14.23(8)_R105;148;R1;2,23;5,254;11,481;1,185;8,497;can;4x
UZ_14.23(8)_R106;148;R1;2,09;5,116;13,934;1,381;8,141;can;4x
UZ_14.23(8)_R107;148;R1;1,883;4,175;16,645;1,544;6,001;can;4x
UZ_14.23(8)_R108;148;R1;1,976;4,173;13,188;1,404;6,593;can;4x
UZ_14.23(8)_R109;148;R1;2,177;4,652;15,319;1,509;7,589;can;4x
UZ_14.23(8)_R110;148;R1;2,27;4,841;11,349;1,285;7,125;can;4x
UZ_14.23(8)_R201;148;R2;2,216;4,905;10,675;1,605;8,229;can;4x
UZ_14.23(8)_R202;148;R2;2,236;4,926;14,068;1,432;7,789;can;4x
UZ_14.23(8)_R203;148;R2;2,157;4,358;13,681;1,49;6,569;can;4x
UZ_14.23(8)_R204;148;R2;2,116;4,2;10,21;1,376;5,957;can;4x
UZ_14.23(8)_R205;148;R2;2,181;4,719;13,959;1,55;7,541;can;4x
UZ_14.23(8)_R206;148;R2;2,155;5,655;14,265;1,642;9,029;can;4x
UZ_14.23(8)_R207;148;R2;2,564;5,033;15,189;1,171;8,801;can;4x
UZ_14.23(8)_R208;148;R2;2,096;4,495;14,076;1,683;6,985;can;4x
UZ_14.23(8)_R209;148;R2;2,456;5,383;12,054;1,395;9,802;can;4x
UZ_14.23(8)_R210;148;R2;2,279;4,802;14,334;1,806;8,789;can;4x
UZ_14.23(8)_R301;148;R3;2,197;4,781;12,768;2,176;7,885;can;4x
UZ_14.23(8)_R302;148;R3;1,967;3,862;12,985;1,963;6,545;can;4x
UZ_14.23(8)_R303;148;R3;1,703;4,182;12,248;2,456;6,145;can;4x
UZ_14.23(8)_R304;148;R3;1,812;4,473;17,044;2,469;6,785;can;4x
UZ_14.23(8)_R305;148;R3;2,273;4,782;15,018;2,104;8,209;can;4x
UZ_14.23(8)_R306;148;R3;1,734;4,317;11,783;2,49;7,157;can;4x
UZ_14.23(8)_R307;148;R3;1,823;4,702;14,207;2,579;6,941;can;4x
UZ_14.23(8)_R308;148;R3;2,272;5,262;11,846;2,316;8,517;can;4x
UZ_14.23(8)_R309;148;R3;1,946;4,374;12,117;2,248;7,193;can;4x
UZ_14.23(8)_R310;148;R3;1,974;3,941;10,113;1,996;6,177;can;4x
UZ_14.23(9)_R101;149;R1;2,149;4,702;14,959;1,862;7,457;can;4x
UZ_14.23(9)_R102;149;R1;2,265;5,3;12,389;1,252;8,333;can;4x
UZ_14.23(9)_R103;149;R1;2,124;4,75;13,135;1,616;9,001;can;4x
UZ_14.23(9)_R104;149;R1;2,307;5,1;14,848;1,502;7,909;can;4x
UZ_14.23(9)_R105;149;R1;2,06;4,612;11,511;1,692;6,545;can;4x
UZ_14.23(9)_R106;149;R1;2,089;4,886;10,142;1,682;8,021;can;4x
UZ_14.23(9)_R107;149;R1;2,065;4,646;10,846;1,971;8,297;can;4x
UZ_14.23(9)_R108;149;R1;1,752;4,776;12,421;1,79;6,621;can;4x
UZ_14.23(9)_R109;149;R1;1,968;5,413;12,053;1,887;6,809;can;4x
UZ_14.23(9)_R110;149;R1;2,379;5,354;13,188;1,737;8,745;can;4x
UZ_14.23(9)_R201;149;R2;2,28;4,333;12,412;1,152;7,097;can;4x
UZ_14.23(9)_R202;149;R2;2,418;4,909;14,679;1,642;8,417;can;4x
UZ_14.23(9)_R203;149;R2;2,022;3,663;17,552;1,851;6,897;can;4x
UZ_14.23(9)_R204;149;R2;2,256;4,893;14,065;1,772;6,873;can;4x
UZ_14.23(9)_R205;149;R2;2,209;4,283;10,89;1,519;6,901;can;4x
UZ_14.23(9)_R206;149;R2;2,199;4,824;12,199;1,56;7,849;can;4x
UZ_14.23(9)_R207;149;R2;2,102;4,845;14,953;1,582;6,813;can;4x
UZ_14.23(9)_R208;149;R2;2,18;4,607;13,829;2,126;8,045;can;4x
UZ_14.23(9)_R209;149;R2;2,416;4,983;14,91;1,669;8,441;can;4x
UZ_14.23(9)_R210;149;R2;2,325;4,544;10,94;1,691;6,165;can;4x
UZ_14.23(9)_R301;149;R3;2,15;5,164;11,755;2,402;9,434;can;4x
UZ_14.23(9)_R302;149;R3;1,799;3,874;10,443;2,153;6,489;can;4x
UZ_14.23(9)_R303;149;R3;1,641;4,419;10,016;2,693;7,369;can;4x
UZ_14.23(9)_R304;149;R3;2,07;4,846;10,58;2,341;8,145;can;4x
UZ_14.23(9)_R305;149;R3;1,853;4,868;9,296;2,627;7,873;can;4x
UZ_14.23(9)_R306;149;R3;1,79;5,715;11,202;3,193;9,87;can;4x
UZ_14.23(9)_R307;149;R3;1,938;5,489;10,898;2,832;7,657;can;4x
UZ_14.23(9)_R308;149;R3;2,024;4,754;10,813;2,349;8,045;can;4x
UZ_14.23(9)_R309;149;R3;2,065;5,118;10,954;2,478;8,793;can;4x
UZ_14.23(9)_R310;149;R3;2,15;4,643;13,2;1,62;8,465;can;4x
UZ_14.23(12)_R101;1412;R1;2,24;3,959;12,363;1,56;6,505;can;4x
UZ_14.23(12)_R102;1412;R1;1,883;3,988;15,088;1,36;6,037;can;4x
UZ_14.23(12)_R103;1412;R1;2,188;4,46;15,722;1,719;7,665;can;4x
UZ_14.23(12)_R104;1412;R1;2,048;3,776;11,28;1,811;5,721;can;4x
UZ_14.23(12)_R105;1412;R1;2,117;4,335;10,907;1,396;6,137;can;4x
UZ_14.23(12)_R106;1412;R1;1,937;4,295;13,593;1,789;5,701;can;4x
UZ_14.23(12)_R107;1412;R1;1,883;4,282;12,85;1,518;5,485;can;4x
UZ_14.23(12)_R108;1412;R1;1,998;4,207;12,191;1,85;7,221;can;4x
UZ_14.23(12)_R109;1412;R1;2,158;4,395;14,71;1,669;7,689;can;4x
UZ_14.23(12)_R110;1412;R1;2,181;4,646;14,036;1,555;8,097;can;4x
UZ_14.23(12)_R201;1412;R2;2,022;4,358;14,566;1,583;7,061;can;4x
UZ_14.23(12)_R202;1412;R2;2,214;4,129;10,711;1,475;6,009;can;4x
UZ_14.23(12)_R203;1412;R2;1,785;3,663;14,879;1,714;5,069;can;4x
UZ_14.23(12)_R204;1412;R2;1,753;4,191;9,781;1,608;5,997;can;4x
UZ_14.23(12)_R205;1412;R2;2,415;5,074;11,61;1,78;8,541;can;4x
UZ_14.23(12)_R206;1412;R2;2,041;4,287;14,042;1,427;7,153;can;4x
UZ_14.23(12)_R207;1412;R2;2,063;4,466;12,83;1,626;6,801;can;4x
UZ_14.23(12)_R208;1412;R2;2,029;4,534;10,552;1,19;7,761;can;4x
UZ_14.23(12)_R209;1412;R2;2,185;4,301;10,826;1,634;6,745;can;4x
UZ_14.23(12)_R210;1412;R2;2,272;4,586;8,826;1,402;8,21;can;4x
UZ_14.23(12)_R301;1412;R3;2,181;5,109;9,632;2,343;8,053;can;4x
UZ_14.23(12)_R302;1412;R3;2,072;4,276;12,912;2,064;6,981;can;4x
UZ_14.23(12)_R303;1412;R3;1,697;4,194;11,421;2,471;4,829;can;4x
UZ_14.23(12)_R304;1412;R3;2,151;4,667;11,539;2,17;8,425;can;4x
UZ_14.23(12)_R305;1412;R3;2,01;4,528;10,314;2,253;7,141;can;4x
UZ_14.23(12)_R306;1412;R3;2,009;5,1;14,388;2,539;8,549;can;4x
UZ_14.23(12)_R307;1412;R3;2,081;5,15;10,298;2,475;8,533;can;4x
UZ_14.23(12)_R308;1412;R3;2,159;4,691;18,559;2,173;7,841;can;4x
UZ_14.23(12)_R309;1412;R3;1,657;4,296;10,07;2,593;5,669;can;4x
UZ_14.23(12)_R310;1412;R3;1,934;4,858;13,394;2,512;7,449;can;4x
